PMID,Title,Abstract,MeSH,orig_precision_medicine,orig_diabetes,orig_source_population,orig_primary_study,pubmed_source_population,pmid,title,gpt_precision_medicine,gpt_diabetes,gpt_primary_study,gpt_source_population,Unnamed: 6,source_population_match
24784910,"The effect of the Missouri WISEWOMAN program on control of hypertension, hypercholesterolemia, and elevated blood glucose among low-income women","The Well-Integrated Screening and Evaluation for Women Across the Nation (WISEWOMAN) public health program is designed to reduce the risk of heart disease and stroke among low-income, underinsured or uninsured women through clinical screenings, risk factor assessment, and lifestyle interventions. We assessed the effect of the Missouri WISEWOMAN program on the control of high blood pressure, total cholesterol, and blood glucose levels.We calculated the proportion of participants (N = 1,130) with abnormal blood pressure, total cholesterol, or blood glucose levels at an initial screening visit who gained control at a follow-up visit 11 to 18 months later during a 7-year period from June 30, 2005, to June 29, 2012. We used logistic regression to identify sociodemographic characteristics and other factors associated with achieving control.Many WISEWOMAN participants gained control of their blood pressure (41.2%), total cholesterol (24.7%), or blood glucose levels (50.0%). After controlling for sociodemographic factors, smoking status, weight status, medication use, and number of lifestyle interventions, nondiabetic women with stage II hypertension (adjusted odds ratio [AOR] = 0.36, 95% confidence interval [CI] = 0.21-0.60) and diabetic women with stage I (AOR = 0.54, 95% CI = 0.32-0.92) and stage II (AOR = 0.23, 95% CI = 0.07-0.77) hypertension were less likely to achieve control of their blood pressure than nondiabetic women with stage I hypertension. Women aged 45 to 64, women with less than a high school education, women who were obese in the initial visit, women who gained 7% or more of their weight, and women who did not participate in any lifestyle intervention sessions were significantly less likely to achieve total cholesterol control than their counterparts.The Missouri WISEWOMAN program helps many participants achieve control of blood pressure, total cholesterol, and blood glucose levels; the lifestyle intervention is likely to help participants control total cholesterol. More efforts are needed for women with diabetes and stage II hypertension to achieve blood pressure control.","Adult, Blood Glucose, Female, Health Education, Health Promotion, Humans, Hypercholesterolemia, Hypertension, Middle Aged, Missouri, Odds Ratio, Poverty, Preventive Health Services, Risk Factors, Women's Health, Women's Health Services",no,yes,unk,yes,U,24784910.0," The effect of the Missouri WISEWOMAN program on control of hypertension, hypercholesterolemia, and elevated blood glucose among low-income women ",no,yes,yes,Unknown,,False
17327457,Activating transcription factor 6 (ATF6) sequence polymorphisms in type 2 diabetes and pre-diabetic traits,"Activating transcription factor 6 (ATF6) is located within the region of linkage to type 2 diabetes on chromosome 1q21-q23 and is a key activator of the endoplasmic reticulum stress response. We evaluated 78 single nucleotide polymorphisms (SNPs) spanning >213 kb in 95 people, from which we selected 64 SNPs for evaluation in 191 Caucasian case subjects from Utah and between 165 and 188 control subjects. Six SNPs showed nominal associations with type 2 diabetes (P = 0.001-0.04), including the nonsynonymous SNP rs1058405 (M67V) in exon 3 and rs11579627 in the 3' flanking region. Only rs1159627 remained significant on permutation testing. The associations were not replicated in 353 African-American case subjects and 182 control subjects, nor were ATF6 SNPs associated with altered insulin secretion or insulin sensitivity in nondiabetic Caucasian individuals. No association with type 2 diabetes was found in a subset of 44 SNPs in Caucasian (n = 2,099), Pima Indian (n = 293), and Chinese (n = 287) samples. Allelic expression imbalance was found in transformed lymphocyte cDNA for 3' untranslated region variants, thus suggesting cis-acting regulatory variants. ATF6 does not appear to play a major role in type 2 diabetes, but further work is required to identify the cause of the allelic expression imbalance.","Activating Transcription Factor 6, Arkansas, Asian People, Black or African American, Case-Control Studies, Diabetes Mellitus, Type 2, Gene Expression Regulation, Humans, Indians, North American, Linkage Disequilibrium, Polymorphism, Single Nucleotide, Prediabetic State, Utah, White People",yes,yes,unk,yes,U,17327457.0, Activating transcription factor 6 (ATF6) sequence polymorphisms in type 2 diabetes and pre-diabetic traits ,yes,yes,yes,Unknown,,False
2293753,Cardiovascular risk factors and impaired glucose tolerance: the San Luis Valley Diabetes Study,"Cardiovascular risk factor patterns were examined cross-sectionally in 856 Hispanic and Anglo subjects aged 20-74 years enrolled in the population-based San Luis Valley Diabetes Study of Colorado. Risk factor levels and prevalence were compared for 279 individuals with non-insulin-dependent diabetes mellitus, 89 with impaired glucose tolerance, and 488 with normal glucose tolerance. Sex-specific comparisons of continuous risk factors were made by diabetic status and ethnicity, adjusting for age using two-way analysis of covariance; similar comparisons of discrete variables were made using logistic regression. A number of vascular, metabolic, lipid, obesity-related, family history, and life-style risk factors for cardiovascular disease were examined. In general, biologic risk factors tended to be more strongly associated with diabetic status, while life-style risk factors varied more by ethnicity. Age-adjusted levels of systolic and diastolic blood pressure, hypertension history, triglyceride, and body mass index were lowest among normal subjects, intermediate for those with impaired glucose tolerance, and highest in subjects with non-insulin-dependent diabetes mellitus, while the trend was reversed for high density lipoprotein (HDL) cholesterol and its subfractions. Hispanics had lower serum uric acid levels and greater central obesity than Anglos; they were less likely to have a Type A personality, less physically active at work, and more likely to be a current smoker than Anglos. Hispanic males had a lower body mass index and a higher HDL cholesterol level than Anglo males. These results indicate that an adverse cardiovascular risk factor pattern is present not only in subjects with non-insulin-dependent diabetes mellitus but also in subjects with impaired glucose tolerance who are at increased risk of developing diabetes. This suggests that an adverse risk factor pattern may develop concurrently with or prior to the onset of impaired glucose tolerance. Future prospective studies will help to clarify the temporal sequence involved in the development of adverse cardiovascular risk factor patterns and impaired glucose tolerance.","Adult, Aged, Cardiovascular Diseases, Case-Control Studies, Colorado, Cross-Sectional Studies, Diabetes Mellitus, Type 2, Ethnicity, Female, Hispanic or Latino, Humans, Male, Mexico, Middle Aged, Prediabetic State, Prevalence, Risk Factors",no,yes,unk,yes,U,2293753.0, Cardiovascular risk factors and impaired glucose tolerance: the San Luis Valley Diabetes Study ,no,yes,yes,"lac, na",,False
7081197,Plasma lipids and diabetes mellitus in an adult community,"Most previous studies of hyperlipidemia in diabetics are based on patients in specialty clinics or reflect an era when diabetics consumed a high-fat, low-carbohydrate diet. In this paper, data from a defined adult population aged 20-79 years in an upper middle class community in Southern California, 1972-1974, were used to ascertain the relationship of hyperlipidemia to diabetes in a current community-based population. All (n = 358) diabetics as defined by history and/or fasting hyperglycemia (fasting plasma glucose, greater than or equal to 140 mg/dl) were compared with all (n = 4387) nondiabetics defined as euglycemic (fasting plasma glucose, less than 110 mg/dl) with no personal or family history of diabetes. In both men and women 50 years of age and older, the mean cholesterol level and the prevelance of categorical hypercholesterolemia were not significantly different in diabetics vs. nondiabetics, whereas the mean triglyceride level and the prevalence of categorical hypertriglyceridemia were significantly higher in diabetics vs. nondiabetics. Case-control comparisons of 356 diabetics matched for age and obesity with 356 nondiabetics confirmed the significantly higher triglyceride levels in diabetes. Conversely, hypertriglyceridemia was associated with diabetes in 29 per cent of nonobese men and 25 per cent of obese men, and in 10 per cent of non-obese women and 21 per cent of obese women. The biologic mechanism of hypertriglyceridemia in diabetics is discussed.","Adult, Aged, California, Cholesterol, Diabetes Complications, Diabetes Mellitus, Female, Humans, Hyperlipoproteinemias, Male, Middle Aged, Obesity, Triglycerides",no,yes,unk,yes,U,7081197.0, Plasma lipids and diabetes mellitus in an adult community ,no,yes,yes,Unknown,,False
24070883,"The effects of an exercise and lifestyle intervention program on cardiovascular, metabolic factors and cognitive performance in middle-aged adults with type II diabetes: a pilot study","Canada is experiencing a rise in type II diabetes mellitus (T2DM), a known risk factor for accelerated cognitive decline and dementia. Within the context of an aging population, this will impose significant individual and societal burden, making the development of prevention programs imperative.This pilot study examines the effects of the Diabetes Exercise and Healthy Lifestyle Service, a 24-week intervention program, on cardiovascular, metabolic regulation and cognitive function in adults with T2DM.Seventeen middle-aged participants provided blood samples for biological markers, underwent cognitive testing and a physical stress test pre- and post-intervention. Cognitive performance was evaluated using the California Verbal Learning Test (CVLT), Digit Symbol Substitution Tasl (DSST) and fluency test.Adjusted models reveal participants displayed increased cardiovascular fitness (VO2 peak: Mchange=4.09 mLâˆ™kgâˆ™min(-1) SE=1.4), peak heart rate (Mchange= 9.28 beatsâ‹…min(-1) SE=2.68) and change in heart rate (Mchange=10.71 SE=1.76) in response to the stress test (ps<0.05) following the 24-week intervention. A decrease in body mass index (BMI) (Mchange=Â -1.03 SE=0.40) and depressive symptomatology (CES-D: MchangeÂ =Â -3.62 SE=1.44) was also found (ps<0.05). No change was found for lipid and glucose levels. Surprisingly, analyses showed that cognitive performance on the CVLT immediate recall (M=Â -4.37 SE=2.21), CVTL short-delay recall (M=Â -1.06 SE=0.55), DSST (Mchange=Â -3 SE=0.53) and category fluency (Mchange=Â -1.69 SE=0.78) declined following the intervention (ps<0.05); however, decline on the CVLT was limited to adults with co-morbid T2DM and hypertension.Additional research is needed to evaluate the benefit of an exercise and lifestyle program that targets cognitive health in those with T2DM.Crown Copyright Â© 2013. Published by Elsevier Inc. All rights reserved.","Adult, Aged, Blood Pressure, Cognition, Diabetes Mellitus, Type 2, Exercise, Female, Heart Rate, Humans, Hypertension, Life Style, Male, Middle Aged, Pilot Projects, Preventive Health Services, Psychological Tests",no,yes,unk,yes,U,24070883.0," The effects of an exercise and lifestyle intervention program on cardiovascular, metabolic factors and cognitive performance in middle-aged adults with type II diabetes: a pilot study ",no,yes,yes,Unknown,,False
1951264,"High-fat, low-carbohydrate diet and the etiology of non-insulin-dependent diabetes mellitus: the San Luis Valley Diabetes Study","Diet has long been believed to be an important risk factor for non-insulin-dependent diabetes. Animal studies generally support a relation between high-fat diets and development of insulin resistance. However, conclusive epidemiologic evidence is lacking. To further investigate the role of dietary fat and carbohydrate as potential risk factors for the onset of non-insulin-dependent diabetes mellitus, current diet was assessed among a geographically based group of 1,317 subjects without a prior diagnosis of diabetes who were seen in the period from 1984 to 1988 in two countries in southern Colorado. In this study, 24-hour diet recalls were reported prior to an oral glucose tolerance test. Persons with previously undiagnosed diabetes (n = 70) and impaired glucose tolerance (n = 171) were each compared with confirmed normal controls (n = 1,076). The adjusted odds ratios relating a 40-g/day increase in fat intake to non-insulin-dependent diabetes mellitus and impaired glucose tolerance were 1.51 (95% confidence interval 0.85-2.67) and 1.62 (95% confidence interval 1.09-2.41), respectively. Restricting cases to diabetic persons with fasting glucose greater than 140 mg/dl and persons with impaired glucose tolerance confirmed on follow-up, the odds ratios increased to 3.03 (95% confidence interval 1.07-8.62) and 2.67 (95% confidence interval 1.33-5.36), respectively. The findings support the hypothesis that high-fat, low-carbohydrate diets are associated with the onset of non-insulin-dependent diabetes mellitus in humans.","Adult, Aged, Confidence Intervals, Cross-Sectional Studies, Diabetes Mellitus, Type 2, Diet, Dietary Carbohydrates, Dietary Fats, Dietary Proteins, Female, Glucose Tolerance Test, Hispanic or Latino, Humans, Logistic Models, Male, Middle Aged, Odds Ratio, Risk",no,yes,unk,yes,U,1951264.0," High-fat, low-carbohydrate diet and the etiology of non-insulin-dependent diabetes mellitus: the San Luis Valley Diabetes Study ",no,yes,yes,Unknown,,False
25439094,Mild cognitive dysfunction does not affect diabetes mellitus control in minority elderly adults,"To determine whether older adults with type 2 diabetes mellitus and cognitive dysfunction have poorer metabolic control of glycosylated hemoglobin, systolic blood pressure, and low-density lipoprotein cholesterol than those without cognitive dysfunction.Prospective cohort study.A minority cohort in New York City previously recruited for a trial of telemedicine.Persons aged 73.0 Â± 3.0 (N = 613; 69.5% female; 82.5% Hispanic, 15.5% non-Hispanic black).Participants were classified with executive or memory dysfunction based on standardized score cutoffs (<16th percentile) for the Color Trails Test and Selective Reminding Test. Linear mixed models were used to compare repeated measures of the metabolic measures and evaluate the rates of change in individuals with and without dysfunction.Of the 613 participants, 331 (54%) had executive dysfunction, 202 (33%) had memory dysfunction, and 96 (16%) had both. Over a median of 2 years, participants with executive or memory dysfunction did not exhibit significantly poorer metabolic control than those without executive function or memory type cognitive dysfunction.Cognitive dysfunction in the mild range did not seem to affect diabetes mellitus control parameters in this multiethnic cohort of older adults with diabetes mellitus, although it cannot be excluded that cognitive impairment was overcome through assistance from formal or informal caregivers. It is possible that more-severe cognitive dysfunction could affect control.Â© 2014, Copyright the Authors Journal compilation Â© 2014, The American Geriatrics Society.","Aged, Biomarkers, Cholesterol, LDL, Cognitive Dysfunction, Demography, Diabetes Mellitus, Type 2, Executive Function, Female, Glycated Hemoglobin, Humans, Male, Memory Disorders, Neuropsychological Tests, New York City, Prospective Studies, Risk Factors, Telemedicine",no,yes,unk,yes,U,25439094.0, Mild cognitive dysfunction does not affect diabetes mellitus control in minority elderly adults ,no,yes,yes,"lac, na",,False
19019800,Outcomes from DiabetesCARE: a pharmacist-provided diabetes management service,"To describe outcomes attained by the DiabetesCARE component of the PharmacistCARE program, which is an innovative pharmacy practice model implemented within a self-insured employer.Descriptive nonexperimental study.University of Kentucky (UK), from March 2003 through December 2006.236 patients with diabetes (95% with type 2 diabetes).Three clinical pharmacists provided UK Health Plan (UKHP) members with diabetes with comprehensive disease state and medication therapy management.Clinical outcomes included glycosylated hemoglobin (A1C), fasting lipid panels, blood pressure, weight, vaccination rates, and aspirin use. Humanistic outcomes included the mental and physical components of the 12-Item Short-Form Health Survey (SF-12) and patient satisfaction with health services related to their diabetes care. Screening parameters included the proportion of patients meeting Healthcare Effectiveness Data and Information Set expectations for patients with diabetes. Productivity and health resource use were also assessed based on patient responses to survey questions.After 1 year of enrollment, patients in the DiabetesCARE program achieved improved clinical outcomes compared with baseline, as evidenced by statistically significant reductions in A1C, low-density lipoprotein cholesterol, triglycerides, and total cholesterol. Statistically significant increases were seen in high-density lipoprotein cholesterol and the proportion of patients obtaining influenza vaccine, yearly screenings for lipid level assessment, screenings for kidney disease, and eye examinations. The mental component score of the SF-12 was significantly increased. Patients were highly satisfied with the DiabetesCARE service, and satisfaction with their overall diabetes care within UKHP was significantly enhanced. Based on the patient provided survey data analyzed here, productivity and health resource use were unchanged; however, additional analyses using UKHP claims data are ongoing.The DiabetesCARE program is a unique pharmacist-provided service delivered in a freestanding pharmacist clinic that enhances health outcomes for adult members with diabetes in a self-insured employer group.","Adult, Aged, Ambulatory Care, Diabetes Complications, Diabetes Mellitus, Type 2, Disease Management, Female, Glycated Hemoglobin, Health Surveys, Humans, Kentucky, Lipids, Male, Medication Therapy Management, Middle Aged, Patient Satisfaction, Pharmaceutical Services, Pharmacists, Treatment Outcome",no,yes,unk,yes,U,19019800.0, Outcomes from DiabetesCARE: a pharmacist-provided diabetes management service ,no,yes,yes,Unknown,,False
15840553,Correlation between lipoprotein(a) and other risk factors for cardiovascular disease and diabetes in Cherokee Indians: the Cherokee Diabetes Study,"To study the age and gender effects on the distribution of lipoprotein (a) [Lp(a)] and its relationship with other cardiovascular disease (CVD) and diabetes risk factors in the participants of the Cherokee Diabetes Study (CDS) (1995-2000).The CDS is a population based cross-sectional study of diabetes and its risk factors in Cherokee Indians aged 5 to 40 years of Oklahoma. Lp(a) levels were measured in 2205 participants.The median Lp(a) (mg/dL) levels in the females were not significantly different among four age groups (5-9, 10-19, 20-29, and 30-40 years). However, the 20- to 29-year-old males had significantly lower Lp(a) levels than the males 10 to 19 and 30 to 40 years old. Females had significantly higher Lp(a) levels than males in the 20- to 29-year-old age group only. In the 5- to 19-year-old children/adolescents, Lp(a) levels were significantly negatively correlated with the degree of Indian heritage (DIH) and positively correlated with total cholesterol (TC), low-density lipoproteins (LDL), and apolipoprotein B (apoB) in girls, but not in boys. In the young adults aged 20 to 29 years, Lp(a) levels were significantly correlated with DIH, body mass index (BMI), waist-hip ratio (WHR), percentage of body fat (PBF), systolic blood pressure (SBP), triglycerides (TG), 2-hour plasma glucose (2hPG), and insulin in males, and DIH, PBF, TC, LDL, TG, and insulin in females. In adults aged 30 to 40 years, Lp(a) levels were significantly correlated with DIH, TG, and LDL in females, and DIH and insulin in males.In the girls, Lp(a) levels appear to be associated with several CVD and diabetes risk factors at an early age (5-19 years), while in the boys, the association occurs at older ages (> 19 years). There are significant age and gender differences regarding the distribution of Lp(a) and its correlates in the 5 to 9, 10 to 19, and 20 to 29-year-old age groups, but the differences tend to be weaker in the 30- to 40-year-old age group. For the same age and gender groups, Lp(a) concentrations in Cherokee Indians were much lower than those reported in blacks and slightly lower than those in whites. In Cherokee Indians, the Lp(a) levels were consistently and positively correlated with LDL, and negatively correlated with DIH, TG, and insulin.","Adolescent, Age Distribution, Body Mass Index, Cardiovascular Diseases, Child, Child, Preschool, Cross-Sectional Studies, Diabetes Mellitus, Female, Humans, Indians, North American, Lipoprotein(a), Male, Oklahoma, Regression Analysis, Risk Factors, Sex Distribution",no,yes,unk,yes,U,15840553.0, Correlation between lipoprotein(a) and other risk factors for cardiovascular disease and diabetes in Cherokee Indians: the Cherokee Diabetes Study ,no,yes,yes,Unknown,,False
7772075,"The relationship of APOE polymorphism and cholesterol levels in normoglycemic and diabetic subjects in a biethnic population from the San Luis Valley, Colorado","We have determined apolipoprotein E (apoE = protein, APOE = gene) polymorphism and its relationship with total cholesterol (TC), low density lipoprotein cholesterol (LDL-C), high density lipoprotein cholesterol (HDL-C) and triglyceride levels in normoglycemic Hispanics (n = 446) and non-Hispanic whites (NHWs) (n = 659) as well as in diabetic Hispanics (n = 235) and NHWs (n = 116) from the San Luis Valley, Colorado. Effects were estimated separately for each group, and within each group men and women were analyzed separately; women were further categorized into pre- and post-menopausal status. The distribution of the APOE genotype pattern was comparable between the NHW normoglycemics and diabetics but it was significantly different among Hispanic normoglycemics and diabetics (P < 0.005). In the normoglycemic sample the APOE allele frequencies were significantly different between the two ethnic groups: the APOE*2 (0.09 vs. 0.05; P < 0.01) and APOE*4 (0.15 vs. 0.09; P < 0.002) allele frequencies were higher while the APOE*3 (0.76 vs. 0.86; P < 0.0001) allele frequency was lower in NHWs than in Hispanics. Significant variability among the three common APOE genotypes (3-2, 3-3, and 4-3) was observed for TC and LDL-C in normoglycemic Hispanic women (P = 0.09 and P = 0.03) but not in Hispanic men. In normoglycemic NHWs, however, significant mean differences among APOE genotypes were observed for TC and LDL-C in both women (P < 0.0001 and P < 0.0001) and men (P = 0.009 and P = 0.01). In Hispanic females, the APOE polymorphism accounted for 5.6% and 7.6% of the phenotypic variance for TC and LDL-C, respectively. In NHW females, the APOE polymorphism explained 10.2% of the phenotypic variance for TC and LDL-C, and in NHW males these values were 6.2% and 7.5%, respectively. There was no evidence of physiologic interaction between the APOE polymorphism and menopause status in affecting TC and LDL-C in NHW women (P = 0.65 and P = 0.55) but a suggestion of interaction was observed in Hispanic women for TC and LDL-C (P = 0.11 and 0.07). After the Hispanic women were stratified into pre- and postmenopausal groups, the effect of the APOE polymorphism on TC and LDL-C was significant only in the premenopausal group. Among diabetics, no significant effect of the APOE polymorphism was seen on cholesterol levels.(ABSTRACT TRUNCATED AT 400 WORDS)","Adult, Alleles, Apolipoproteins E, Base Sequence, Blood Glucose, Cholesterol, Cholesterol, HDL, Cholesterol, LDL, Colorado, Coronary Disease, Diabetes Mellitus, Type 2, Female, Gene Frequency, Genotype, Hispanic or Latino, Humans, Male, Middle Aged, Molecular Sequence Data, Polymorphism, Genetic, Postmenopause, Premenopause, Triglycerides",yes,yes,unk,yes,U,7772075.0," The relationship of APOE polymorphism and cholesterol levels in normoglycemic and diabetic subjects in a biethnic population from the San Luis Valley, Colorado ",yes,yes,yes,"lac, na",,False
20396599,"Dietary fat reduction behaviors among African American, American Indian, and white older adults with diabetes","Dietary self-management of diabetes is often difficult for older adults to practice, particularly in rural communities. We describe patterns and correlates of dietary fat reduction among older rural adults with diabetes of any type. In-home interviews were conducted with a multiethnic random sample of 701 adults â‰¥ 65 with diabetes from two North Carolina counties. The Fat and Fiber Behavior Questionnaire was used to measure dietary behaviors. Separate multiple linear regressions assessed effects of gender, ethnicity, and diabetes education. In general, scores were more favorable for practices that involved modifying food preparation (e.g., avoiding frying) and less favorable for practices that involved changing foods consumed (e.g., substituting fruits and vegetables as desserts or snacks). American Indians and African Americans had less favorable scores than whites, and diabetes education was associated with greater fat restriction for women than men. Older men and ethnic minorities with diabetes should be targeted for dietary change education.","Aged, Black or African American, Cross-Sectional Studies, Diabetes Mellitus, Type 2, Diet, Fat-Restricted, Dietary Fats, Female, Health Behavior, Humans, Indians, North American, Male, North Carolina, Rural Population, Self Care, White People",no,yes,unk,yes,U,20396599.0," Dietary fat reduction behaviors among African American, American Indian, and white older adults with diabetes ",no,yes,yes,Unknown,,False
7549440,Lp(a) is not related to retinopathy in diabetic subjects,"Purpose: To examine the association between Lp(a) concentrations and the severity of retinopathy in 22 younger-onset and 48 older-onset diabetic subjects from the Wisconsin Epidemiologic Study of Diabetic Retinopathy (WESDR), a population-based study of diabetic retinopathy._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Methods: We used a subset of the WESDR population with standardized protocols and stereoscopic color fundus photography to determine the severity of diabetic retinopathy in relation to Lp(a) concentrations. Lp(a) concentrations were measured by a monoclonal anti-Lp(a) antibody._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Results: Lp(a) levels were not significantly different between younger-onset or older-onset subjects with and without retinopathy._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Conclusion: Our results do not support a link between higher levels of Lp(a) and severe retinopathy in either younger-onset or older-onset diabetic subjects but this needs confirmation in larger prospective studies.","Adult, Age of Onset, Case-Control Studies, Cohort Studies, Creatinine, Cross-Sectional Studies, Diabetes Mellitus, Type 1, Diabetes Mellitus, Type 2, Diabetic Retinopathy, Female, Glycated Hemoglobin, Humans, Lipoprotein(a), Male, Middle Aged, Prospective Studies, Severity of Illness Index, Wisconsin",no,yes,unk,yes,U,7549440.0, Lp(a) is not related to retinopathy in diabetic subjects ,no,yes,yes,Unknown,,False
6829548,A community study of high density lipoproteins in adult noninsulin-dependent diabetics,"It is generally accepted that high density lipoprotein cholesterol (HDL-C) is protective against cardiovascular disease, and that diabetics are at a significant excess risk of cardiovascular disease. Previous studies of HDL-C levels in noninsulin-dependent diabetics have reported divergent results, possibly due to case selection or failure to adjust for covariables known to effect HDL-C, such as obesity, cigarette smoking, alcohol intake, exercise, or exogenous estrogen use. The authors compared 97 adult noninsulin-dependent diabetics identified by history or fasting hyperglycemia from a population survey in southern California with 194 age- and sex-matched euglycemic controls from the same community. HDL-C levels were significantly lower in noninsulin-dependent diabetics of both sexes, and these differences persisted after adjustment for obesity, cigarette smoking, alcohol, exercise, and estrogen use in women. These data support the concept that reduced levels of HDL-C may be one mechanism whereby diabetics experience an excess risk of cardiovascular disease. In contrast to the published literature, HDL-C levels were not significantly different in diabetics treated with tolbutamide vs. diet therapy. This finding does not support the suggestion that the excess risk of cardiovascular disease mortality in diabetics assigned to tolbutamide reported from the University Group Diabetes Program was a consequence of tolbutamide-induced reductions in HDL-C.","Aged, Alcohol Drinking, Body Weight, California, Diabetes Complications, Diabetes Mellitus, Female, Hormones, Humans, Lipoproteins, Male, Middle Aged, Obesity, Physical Exertion, Smoking",no,yes,unk,yes,U,6829548.0, A community study of high density lipoproteins in adult noninsulin-dependent diabetics ,no,yes,yes,Unknown,,False
23979957,Association between vitamin D metabolism gene polymorphisms and risk of islet autoimmunity and progression to type 1 diabetes: the diabetes autoimmunity study in the young (DAISY),"Context: Vitamin D metabolism genes have been associated with type 1 diabetes (T1D) risk; however, these genes have not been investigated for association with the preclinical phase of T1D, islet autoimmunity (IA). Studies of vitamin D metabolism genes may elucidate the role of vitamin D in complex diseases._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Objective: The objective of the study was to explore the association between seven vitamin D metabolism gene single-nucleotide polymorphisms (SNPs) and the risk of IA and progression to T1D._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Design: The Diabetes Autoimmunity Study in the Young is a longitudinal, observational study._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Setting: Newborn screening for human leukocyte antigen, sibling and offspring recruitment, and follow-up took place in Denver, Colorado._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Participants: A total of 1708 children at increased genetic risk of T1D participated in the study: 148 developed IA and 62 IA-positive children progressed to T1D._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Main outcome measures: IA, defined as positivity for glutamic acid decarboxylase, insulin, or IA-2 autoantibodies on two or more consecutive visits, and T1D, diagnosed by a physician, were the main outcome measures._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Results: The risk of IA was associated with DHCR7/NADSYN1 rs12785878 and CYP27B1 rs4646536 [hazard ratio 1.36, 95% confidence interval 1.08-1.73 (for each additional minor allele) and hazard ratio 0.59, 95% confidence interval 0.39-0.89 (for A/G compared with the A/A genotype), respectively]. None of the vitamin D SNPs typed was associated with progression to T1D in IA-positive children. Six of the seven SNPs were significantly associated with 25-hydroxyvitamin D levels._x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
Conclusions: DHCR7/NADSYN1 rs12785878 and CYP27B1 rs4646536 may play an important role in islet autoimmunity, the preclinical phase of T1D. These findings should be replicated in larger cohorts for confirmation.","Adolescent, Autoimmunity, Child, Child, Preschool, Diabetes Mellitus, Type 1, Disease Progression, Female, Follow-Up Studies, Genome-Wide Association Study, Humans, Infant, Islets of Langerhans, Male, Polymorphism, Single Nucleotide, Prospective Studies, Risk Factors, Vitamin D",yes,yes,unk,yes,U,23979957.0, Association between vitamin D metabolism gene polymorphisms and risk of islet autoimmunity and progression to type 1 diabetes: the diabetes autoimmunity study in the young (DAISY) ,yes,yes,yes,Unknown,,False
36992778,Clinical Team Response to the Impact of COVID-19 on Diabetes Self-Management: Findings From a Qualitative Study,"The aims of this study were to explore providers' perceptions of how COVID-19 affected patients' psychological wellbeing and diabetes self-care and discover how providers responded to sustain and improve patients' psychological health and diabetes management during the pandemic. Twenty-four semi-structured interviews were completed with primary care providers (n=14) and endocrine specialty clinicians (n=10) across sixteen clinics in North Carolina. Interview topics included: (1) current glucose monitoring approaches and diabetes management strategies for people with diabetes (2) barriers and unintended consequences encountered with respect to diabetes self-management, and (3) innovative strategies developed to overcome barriers. Interview transcripts were coded using qualitative analysis software and analyzed to identify cross-cutting themes and differences between participants. Primary care providers and endocrine specialty clinicians reported that people with diabetes experienced increased mental health symptoms, increased financial challenges and positive and negative changes in self-care routines due to COVID-19. To offer support, primary care providers and endocrine specialty providers focused discussions on lifestyle management and utilized telemedicine to connect with patients. Additionally, endocrine specialty clinicians helped patients access financial assistance programs. Findings indicate that people with diabetes experienced unique challenges to self-management during the pandemic and providers responded with targeted support strategies. Future research should explore the effectiveness of these provider interventions as the pandemic continues to evolve.Copyright Â© 2022 Hale, Cameron, Donahue, Vu, Leeman, Johnson, Richman, Rees and Young.",,no,yes,unk,yes,U,36992778.0, Clinical Team Response to the Impact of COVID-19 on Diabetes Self-Management: Findings From a Qualitative Study ,no,yes,yes,Unknown,,False
